esbuild,1,33
esbuild,10,226
esbuild,20,398
esbuild,30,616
esbuild,40,779
esbuild,50,974
esbuild,60,1189
esbuild,70,1389
esbuild,80,1565
esbuild,90,1782
esbuild,100,1965
parcel,1,607
parcel,10,2353
parcel,20,4717
parcel,30,7488
parcel,40,10217
parcel,50,13910
parcel,60,17823
parcel,70,23205
parcel,80,26081
parcel,90,32653
parcel,100,41300
parcel-v3,1,756
parcel-v3,10,1948
parcel-v3,20,3893
parcel-v3,30,7889
parcel-v3,40,10059
parcel-v3,50,15586
parcel-v3,60,18271
parcel-v3,70,22634
parcel-v3,80,24313
parcel-v3,90,30572
parcel-v3,100,70034
rspack,1,135
rspack,10,1126
rspack,20,2205
rspack,30,3297
rspack,40,5189
rspack,50,7925
rspack,60,6760
rspack,70,8076
rspack,80,11199
rspack,90,14936
rspack,100,20451
